JobID	Attachment
15105936	0
15106254	0
15106644	0
15107184	0
15107209	0
15107610	0
15107888	0
15108331	1
15108468	0
15109879	1
15111391	1
15111652	1
15112177	0
15112510	0
15112820	0
15112879	0
15114245	0
15114253	0
15114953	0
15116445	0
15118429	0
15119009	0
15119065	0
15120250	1
15120578	0
15121751	0
15123605	0
15126724	0
15126921	0
15127012	0
15127328	0
15127400	0
15127624	0
15128187	0
15128237	0
15129017	0
15129965	1
15136479	0
15136487	0
15137228	0
15137836	0
15137991	0
15138950	0
15139587	0
15140103	1
15140323	0
15140836	0
15141866	0
15142416	0
15142853	1
15143641	0
15144192	0
15145111	0
15145161	0
15145550	0
15145553	0
15145557	0
15145673	0
15146223	0
15146364	0
15146651	0
15148090	0
15148156	0
15148267	0
15149858	0
15150228	0
15150853	1
15151077	0
15151362	0
15151506	0
15151570	0
15152248	0
15152843	0
15154011	0
15154244	0
15154841	0
15155018	0
15155125	1
15155366	0
15156497	0
15158392	0
15159993	1
15161083	0
15161549	0
15162830	0
15163090	0
15163465	0
15163853	0
15163879	0
15163885	0
15164019	1
15164557	0
15167899	0
15168169	0
15168725	0
15169047	0
15169202	0
15169269	0
15169346	0
15169446	0
15169745	0
15170124	0
15170443	1
15171410	0
15171857	0
15173841	0
15174030	0
15175687	1
15176557	0
15176954	0
15177225	1
15178434	0
15178903	0
15179348	0
15180952	0
15181903	0
15182388	1
15182418	1
15189265	0
15189377	0
15190025	0
15190745	0
15191141	0
15191823	0
15192079	0
15192091	0
15192099	0
15192235	0
15192312	0
15192930	0
15193240	0
15194627	0
15195188	0
15195457	0
15196374	0
15196654	0
15197308	0
15198453	0
15199321	0
15199680	0
15199739	0
15199884	0
15201840	0
15201917	0
15203990	0
15205976	0
15206855	0
15207366	0
15207369	1
15207512	0
15207537	1
15208799	0
15209228	0
15209380	0
15210543	0
15211278	0
15212031	0
15212039	0
15212153	0
15212520	0
15212566	0
15213322	1
15213627	0
15215081	0
15215255	0
15215382	0
15215629	0
15216711	0
15216944	0
15217221	0
15217320	0
15217602	1
15217752	1
15217759	0
15217787	0
15218161	1
15218883	0
15219484	1
15220633	0
15221678	1
15221693	0
15222408	0
15223560	1
15224666	0
15225153	0
15227434	0
15227648	0
15228132	0
15228472	0
15228812	0
15229126	0
15229157	0
15230070	0
15230081	0
15230553	0
15230607	0
15231413	0
15232120	0
15232640	0
15232688	0
15232968	1
15232995	0
15233290	0
15233614	0
15241444	0
15241512	0
15242277	0
15242815	0
15242875	0
15244001	0
15244171	0
15245016	0
15245994	0
15246731	0
15246764	0
15247176	0
15248166	0
15249329	1
15250286	0
15250933	0
15251630	1
15252012	0
15252262	1
15252587	0
15253509	0
15253857	0
15253957	0
15254175	0
15254270	0
15254289	0
15254310	0
15254408	0
15254460	0
15254879	0
15255481	0
15255959	1
15256824	0
15257414	0
15257436	0
15257588	0
15259126	0
15259822	0
15260462	0
15260536	0
15260856	0
15261949	0
15263347	1
15263590	0
15263819	0
15264043	0
15264091	1
15264202	1
15264607	0
15264632	0
15266880	0
15268808	1
15269193	0
15269655	0
15271554	0
15272715	0
15272737	0
15274068	0
15274093	0
15275108	0
15275639	1
15275688	1
15275771	0
15276139	0
15276383	0
15276535	0
15276779	1
15277563	0
15278511	0
15278693	0
15278827	0
15280466	0
15281205	0
15281873	0
15283460	0
15284087	1
15284799	0
15285290	0
15285945	0
15287277	0
15287940	1
15296213	0
15297786	0
15297838	0
15298285	0
15299170	0
15299344	0
15299416	0
15299980	0
15300047	0
15300966	0
15301544	0
15301695	0
15301776	0
15302048	0
15304503	0
15304527	0
15304723	0
15304755	0
15304801	0
15305061	0
15305390	1
15305511	0
15305654	0
15305948	0
15307032	0
15309376	0
15309528	0
15310889	0
15311105	0
15311178	0
15312475	0
15312482	0
15313569	0
15315422	0
15315440	1
15316123	0
15316623	0
15318100	0
15318170	1
15318349	1
15318391	0
15318465	0
15318849	0
15319653	0
15319789	0
15321228	0
15321540	0
15321547	0
15322730	0
15323677	0
15323818	0
15324478	0
15326483	0
15326559	0
15326713	1
15326746	0
15327133	0
15329293	0
15330536	0
15330875	0
15331004	1
15333766	0
15334033	0
15339365	0
15340215	1
15340281	0
15340542	0
15340818	0
15340897	0
15341779	0
15349948	1
15350547	0
15350636	0
15351591	0
15351835	0
15352793	1
15352974	0
15353764	1
15354122	1
15354142	0
15354741	0
15355675	0
15356234	0
15356309	0
15356922	0
15364567	0
15364578	0
15365103	0
15365792	0
15366901	0
15366907	0
15366923	0
15367422	0
15368024	0
15368789	0
15369005	0
15369281	0
15369408	1
15371446	0
15372190	0
15372631	0
15373000	0
15374355	0
15374608	0
15375701	0
15376591	0
15378220	0
15379004	0
15380598	0
15380665	0
15380816	0
15382418	0
15383293	0
15383859	0
15385600	0
15386858	0
15387344	0
15387949	0
15388058	0
15388243	1
15388616	0
15390537	0
15393346	0
15401954	0
15401976	0
15401992	0
15402455	0
15402786	0
15403202	0
15405235	0
15408738	0
15411170	0
15412548	1
15413192	1
15413772	0
15414821	0
15415300	0
15415611	0
15416885	0
15416981	0
15417523	0
15417805	0
15418234	0
15420647	0
15420940	1
15421166	0
15422187	0
15422649	0
15425214	0
15425684	0
15429084	0
15431044	0
15432165	0
15432275	1
15433492	0
15433565	0
15433567	0
15433768	0
15433979	0
15434082	1
15434114	0
15434173	0
15434363	0
15434617	0
15436242	0
15437460	0
15437995	0
15438350	1
15438579	0
15439064	0
15439370	0
15442333	0
15443255	0
15443257	0
15444823	0
15445395	0
15445904	1
15446555	0
15446610	0
15456400	0
15458692	0
15459100	0
15459492	0
15460297	0
15460479	0
15460513	0
15460860	0
15461005	0
15461180	0
15461370	0
15461637	0
15462276	0
15465232	0
15465720	0
15465743	0
15467516	0
15467987	0
15468147	0
15468845	0
15470283	0
15471355	0
15471633	0
15472704	0
15473184	0
15473559	0
15474254	0
15475349	0
15475372	0
15475887	0
15477241	0
15477477	1
15478115	0
15479262	0
15480612	0
15481986	0
15483891	0
15484009	0
15484410	0
15484945	0
15485173	0
15486615	0
15486833	0
15487201	0
15487348	0
15487487	0
15491987	1
15491992	0
15495443	0
15498137	0
15499644	1
15500397	0
15501714	0
15502415	0
15511892	0
15513548	0
15513805	0
15513939	0
15513944	0
15515814	0
15517352	0
15518625	1
15519500	0
15521056	0
15521175	1
15522853	0
15523181	0
15523734	1
15525801	0
15526034	0
15526275	0
15527451	0
15528410	0
15528695	0
15530595	0
15530890	0
15533349	0
15533700	0
15533706	0
15536045	0
15538670	0
15539652	0
15539976	0
15541123	1
15541674	1
15543243	1
15547001	1
15547379	0
15547891	0
15548223	0
15548616	0
15548947	0
15550358	0
15551748	0
15552559	0
15552620	1
15552708	1
15553939	1
15554904	0
15555605	0
15555630	0
15556691	0
15556911	0
15564464	0
15564706	0
15565530	0
15567652	0
15567745	0
15568096	0
15569347	0
15569612	0
15573449	0
15573714	0
15574277	0
15574925	0
15575543	0
15575596	1
15576533	0
15577998	0
15579654	0
15580232	0
15580413	0
15581260	0
15582189	0
15583205	0
15584225	0
15586295	0
15586822	0
15587530	0
15587889	0
15587938	0
15589355	0
15589549	0
15592096	0
15595745	0
15596234	0
15598528	1
15598735	0
15600250	0
15600680	1
15601966	0
15602670	1
15603424	0
15603457	0
15606315	0
15608600	0
15608804	0
15612626	1
15620410	0
15621256	0
15622931	1
15625088	0
15625591	0
15625949	0
15626657	0
15627717	0
15627720	0
15628073	0
15628125	0
15628849	0
15629329	0
15630594	0
15633457	1
15633788	0
15634132	1
15635504	0
15636071	0
15636312	0
15637208	0
15639999	0
15641595	0
15642947	1
15643077	0
